ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
AFG	20343461030	34385000	Afghanistan	AFG	1	5	6	0.01744946924531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ALB	12959563902	3205000	Albania	ALB	4	7	11	0.343213728549142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
DZA	188681000000	35468000	Algeria	ALG	18	21	39	0.109958272245404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ASM	537000000	68420	American Samoa	ASA	1	4	5	7.30780473545747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AND	3491000000	84864	Andorra	AND	2	4	6	7.07013574660634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AGO	100990000000	19082000	Angola	ANG	30	5	35	0.183418928833456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ATG	1128708617	88000	Antigua and Barbuda	ANT	2	3	5	5.68181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ARG	445989000000	40412000	Argentina	ARG	43	99	142	0.351380777986737	0	0	1	1	0.002474512521033	0	0	0.002474512521033	0.002242207767456	0	0	0.002242207767456	0.007042253521127	0	0	0.007042253521127	0.4	0	0	0.4	0.35	0	0	0.35	0.89	0	0	0.89	0.35	0.4	0.89	61	68	67	70		1
ARM	10247788877	3092000	Armenia	ARM	4	21	25	0.808538163001294	0	1	1	1	0.032341526520052	0.032341526520052	0	0.032341526520052	0.09758202593775	0.09758202593775	0	0.09758202593775	0.04	0.04	0	0.04	5.6	6.5	0	12.1	15.31	19.86	0	35.17	5.03	6	0	11.03	55.03	18.6	17.03	45	4	16	24		3
ABW	2456000000	108000	Aruba	ARU	1	3	4	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AUS	1371760000000	22299000	Australia	AUS	188	225	413	1.85210099107583	2	12	8	22	0.035876048253285	0.053814072379927	0.008969012063321	0.098659132696534	0.005831923951712	0.008747885927568	0.001457980987928	0.016037790867207	0.019370460048426	0.029055690072639	0.004842615012107	0.053268765133172	6.2	10.8	1	18	0.92	1.78	0.13	2.83	2.44	4.36	0.84	7.64	4.87	30.8	13.68	9	33	7	33		38
AUT	418484000000	8390000	Austria	AUT	31	39	70	0.834326579261025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AZE	63403650746	9054000	Azerbaijan	AZE	14	39	53	0.585376629114204	0	1	2	3	0.022089684117517	0.011044842058759	0	0.033134526176276	0.031543924939152	0.015771962469576	0	0.047315887408727	0.037735849056604	0.018867924528302	0	0.056603773584906	3.8	2.2	0	6	4.95	3.21	0	8.16	4.75	2.83	0	7.58	11.37	8.2	10.41	40	23	35	44		4
BHS	7787514000	343000	Bahamas	BAH	11	15	26	7.5801749271137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BHR	22945000000	1262000	Bahrain	BRN	8	4	12	0.950871632329636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BGD	110612000000	148692000	Bangladesh	BAN	1	4	5	0.003362655690958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BRB	3685000000	274000	Barbados	BAR	0	6	6	2.18978102189781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BLR	55136144037	9490000	Belarus	BLR	77	95	172	1.81243414120126	3	2	3	8	0.031612223393045	0.021074815595364	0.031612223393045	0.084299262381454	0.054410769058982	0.036273846039322	0.054410769058982	0.145095384157287	0.017441860465116	0.011627906976744	0.017441860465116	0.046511627906977	5.5	4.2	3.4	13.1	8.54	7.38	4.83	20.75	2.2	1.75	3.04	6.99	37.79	24.1	14.82	15	8	9	29		16
BEL	511533000000	10896000	Belgium	BEL	44	74	118	1.08296622613803	0	1	2	3	0.018355359765051	0.009177679882526	0	0.027533039647577	0.003909816179992	0.001954908089996	0	0.005864724269988	0.016949152542373	0.008474576271186	0	0.025423728813559	3.2	1.8	0	5	0.61	0.4	0	1.01	2.13	1.27	0	3.4	1.41	6.8	4.67	40	49	39	62		4
BLZ	1474000000	345000	Belize	BIZ	1	2	3	0.869565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
